id,vE,vH,aA,aS,t0,w,weight_w,weight_v,l,sb,d,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,k,max_log_lik,aic
11,1.3487045316053712,0.5615759957810629,1.7839720631020677,0.9416767298164241,0.3925533575599542,0.5347622379296508,1.0390462477538884e-06,2.5907245091819964,0.04274755174271985,53.080991720037176,0.9117544072465587,0.44389553765769985,0.41715781580136135,0.7146250163002197,0.40291755774738336,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3,-1130.3734877559477,2290.7469755118955
12,2.927644782852505,1.8322163431836478,2.3746478449872974,1.126574978649604,0.3932895063905843,0.5108600544209118,1.0140628977833851e-06,0.267505725701791,0.02410758549544654,1999.9630991144566,0.9413777850060556,0.2028545689108453,0.0006236965352679026,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,498.574014864708,-971.148029729416
13,3.2156260621995667,1.8453137580975416,1.6030610327668733,1.0320467576248944,0.30959176679209877,0.5361525564666038,13.293278494843669,0.0002265688864312864,0.018706969343332387,1999.4484043205384,0.9000000820854941,0.49810405705809807,0.4908174526460381,0.5149783818418793,0.495642358443749,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3,1177.9284661483632,-2325.8569322967264
14,2.2931998006210685,1.3538772917779431,1.668114981713945,1.144046682532732,0.30615714022301616,0.49793262219441536,4.244463726992998,0.0010940702865315237,0.03325505944784279,173.34531024068022,0.9816732310097388,0.4808542476313364,0.5133009742636836,0.5776932885790894,0.48750457808678904,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3,-132.65345846731387,295.30691693462774
15,3.098698304922189,2.0425580440716273,2.1385603575974077,1.1222489905489443,0.27310064695491815,0.5207380332624774,2.2913443413014174,0.5409883029060671,0.01191163718821537,157.76135801684063,0.9712508292597413,0.49421507671700216,0.37298013532536434,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,1046.1229729368351,-2066.2459458736703
16,2.1244910916263846,1.5126191233722868,1.7321160674661855,1.0249519840880013,0.2931052743797568,0.5159389838158228,0.789863656417276,0.11464694679997417,0.035976084539575626,1999.4711827590156,0.9414879368893095,0.21303142885332094,0.9994547002885089,0.5084856613465195,0.6141007938716844,0.36602258622704614,0.15755285232649563,0.03550989957922648,0.69353262136179,0.3119298355103336,0.34554681326798775,0.9464366183201876,0.3274613559563362,0.6874368308990287,0.2871471150707726,0.3932747231126752,0.7253601378432033,5,-13.443139051684406,80.88627810336881
17,2.9686120138109526,1.7123668996211439,1.5209188484012228,1.143463198982665,0.3307365996671441,0.5263882074250498,2.547961945470277,2.4685690874719157e-06,0.012623369923381329,159.64027100253998,0.9581702474551773,0.4698552573561653,0.4866258967487855,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,948.6016741495627,-1871.2033482991253
18,3.408794569755104,1.8262858998391585,1.5897003933208294,1.1895100463697403,0.29301933180882656,0.5261226179035436,1.0000448497197615e-06,0.6763665533069404,0.025534217534729276,243.67255532526045,0.90000017518427,0.2168138336057115,0.38287035236752315,0.676105833782786,0.23396889950921076,0.9329211873327701,1.2280687690163017e-07,0.8101603533139571,0.34625802485009227,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4,976.0501363475928,-1914.1002726951856
19,1.2293172968712607,0.5837352013987939,1.4906669108195172,1.0769484454769056,0.25661908280161694,0.511750061211653,1.5032290230784777,9.772060476732342,0.013705155329908063,263.1620207622589,0.9642867640706676,0.49865480697266606,0.4960629218269411,0.47910832302563566,0.49918648580398517,0.4936530345837391,0.4711980230597219,0.4839695935529551,0.536875271859816,0.45239152094268514,0.488869902102412,0.5396106085766021,0.48820010456294693,0.4944962784174046,0.47712976655528117,0.5079772600210677,0.530027043388873,5,-700.7985872721802,1455.5971745443603
20,3.316925697637535,2.2737077853695147,2.166843732088937,1.1660068728180188,0.24310865379173588,0.49277162700691923,1.634177089443167,3.979769773881359e-06,0.004984832339438009,116.44241817424809,0.9708650115874435,0.3089118518929853,0.557474539186705,0.5555528280805361,0.4791586034496735,0.4905915337880776,0.08914574467448677,0.5286698715826108,0.6265198773615795,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4,1344.7487333907845,-2651.497466781569
