id,vSlope,vPower,vBias,a,t0,w,weight_w,weight_v,lapse,bias_strength,d,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,k,max_log_lik,aic
13.0,3.086349919331753,0.3051673171413248,-0.08512310267647294,1.3402058987157794,0.1406851557962073,0.49553568098252215,1.6010745928955083e-05,4.2779343550087,0.013313657453735268,133.2613460268835,0.9952753163244925,0.5492175802158892,0.49520697265879704,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,264.1283151336087,-502.25663026721736
14.0,4.402863849294582,0.5847567543470048,-0.844611353481973,1.2621709271901205,0.06895210021828235,0.6011573610874741,1.1479777819572907,14.591411734393784,0.011475988183624703,1999.4597514677025,0.9010119620386084,0.5217885883442266,0.49803528939802355,0.4957678621088617,0.5003008764927546,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3,692.2055999509619,-1354.4111999019237
15.0,4.266947624783072,0.3096867550866758,0.008804614750248518,1.3780547389976767,0.1237804243518909,0.49722757082971836,0.002861734514902778,8.091709736088584,0.027137456354122215,411.75069124777065,0.9933533024350063,0.47799788886158756,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,825.4042412050565,-1626.808482410113
16.0,6.156102383196826,0.5323657785628951,-0.06305887765602369,1.222541744695466,0.14287612790518484,0.5052697670840938,2.0642520265738595e-05,23.70580060633551,0.03774064003873384,1999.5360504486778,0.9966518546396534,0.5025425151782625,0.515036936789967,0.5262111691932236,0.48703711262645144,0.5256118593078262,0.48535911509855223,0.5050986782603004,0.4845586035985971,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4,1083.3292109501258,-2128.6584219002516
18.0,6.2115333193796065,0.7479486980249335,0.14063207077347872,1.5060545579570401,0.22080709882020466,0.5121732918532768,2.5029943905257386,5.944505635108752,0.04999987398397505,1999.9113243301713,0.9999999999475465,0.4995091472986573,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,-968.1278500465228,1960.2557000930456
19.0,4.30131784644213,0.5464035542143754,-0.0270929770202617,1.3031987595129864,0.24488043208278656,0.5076666797565594,1.4876298413224516,8.803393296069089,0.015471984623295909,1010.4289922173391,0.9974187182004871,0.47807067546395887,0.5273472814780161,0.4882303902771887,0.49435128599381745,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3,96.14939139897818,-162.29878279795636
20.0,5.551945538696982,0.6456882077534666,0.10601798253067152,1.351434385964507,0.2064002876428329,0.4774201929896077,7.2559956329541495e-06,7.4421208742240506,0.013988975633761575,337.4742374750356,0.9960695959244803,0.4675421885598232,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,464.1051381367185,-904.210276273437
21.0,5.921459275406106,0.7022789576352682,-0.7414681766381195,1.2423284626247775,0.042670501891549084,0.5725072575116672,2.873291350150606,8.74179092802811,0.013888616069531685,1999.9978852787121,0.9966930713833434,0.5160867859830321,0.5080048256850177,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,1119.2591255480738,-2212.5182510961477
23.0,5.58866249850528,0.9999999157079251,1.1694308258909878,1.5992880508247633,0.1906249574066111,0.3505729088983433,4.579948228891931,3.321944085547491,0.014503249520830555,1999.999994991473,0.9000006464842488,0.53054210930068,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,-392.844644665659,809.689289331318
24.0,3.5068680299744877,0.3010420207753266,-0.13837103509933524,1.56839879879455,0.019806291245868635,0.5177494579746079,0.0041404865161787105,9.757593803918937,0.0042138963968225895,1744.839750394042,0.9007141380162997,0.5044859961167041,0.4956813529297432,0.4860475173994921,0.5109803415633576,0.5142813784326234,0.4697061418716769,0.508559507863644,0.49344313483464763,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4,198.81496434702015,-359.6299286940403
26.0,5.348608753269326,0.542528459948319,0.36058088484267703,1.1595894389852652,0.19538859652388954,0.44581182357565846,3.404128735338785e-05,18.032409930970395,0.024815810928078195,1999.9414999970127,0.9942052654576354,0.5059533742651467,0.5083323653905161,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,1223.28268301222,-2420.56536602444
