id,vSlope,vPower,vBias,a,t0,w,weight_w,weight_v,lapse,bias_strength,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,k,max_log_lik,aic
13.0,3.0750028374590133,0.29836640429396555,-0.2582372301719884,1.3387802668373974,0.14066873787376682,0.49504843307000856,2.463447956321095e-06,0.9843057125325646,0.013411444133650826,0.10853224566722011,0.17563815068180758,0.6147654479370064,0.5977798726804585,0.7100534345728495,0.8373736814810911,0.003224162332256999,0.6848010909632408,0.46777698785261435,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4,256.6457383062848,-477.29147661256957
14.0,4.402649836860573,0.5855814825410588,-1.051008296313383,1.258534413645649,0.06877765189350543,0.591782510591436,0.051687567448390585,0.4332066120971867,0.011362324296059658,1208.585706465322,0.9997790741918057,0.27421740442402787,0.460242629217809,0.6264700880191744,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3,675.9344605561616,-1323.8689211123233
15.0,4.246001201895893,0.30694620702632003,-0.16468648060355395,1.3762224589333623,0.12376364024461767,0.49649202324739516,1.575903091182259e-06,1.1501730634531468,0.02725045632873207,0.0012989691380921543,0.0016449247826252524,0.896487516306674,0.4014687856964912,0.6161462334846312,0.35316497205634073,0.142224754867024,0.5420019874386559,0.9875453383394368,0.6798028332445137,0.4464409991853113,0.6733416482069957,0.4203549419828266,0.30257118280427214,0.5613804289223613,0.62224459569688,0.6399335049282976,5,818.4795557951406,-1584.9591115902813
16.0,6.153146079803361,0.5317703656285164,-0.0955300092225917,1.2220150988739649,0.14288904715709494,0.5042006477814589,1.7448393184341106e-06,2.116137623011058,0.03807502974165321,0.07030553994620525,0.28004038835959133,0.6766047058575653,0.9503688608693174,0.4353753954623284,0.7071751519323993,0.10823400164072641,0.5952190276354417,0.4369498190304326,0.7532376127236176,0.3934879225128704,0.927207471838432,0.10643341343025603,0.6977191729098616,0.24590407700189007,0.37640228805364767,0.3267457362828736,5,1078.647589501521,-2105.295179003042
18.0,6.1783567284114955,0.7458352681616234,0.117379066338545,1.5037678884426158,0.22063941889324618,0.5221814435147202,0.2359963653951419,0.4709284983532956,0.052284728359496234,0.2482658788212378,0.6898843498622672,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,-982.0127989669187,1986.0255979338374
19.0,4.29089748108715,0.5448481375005775,-0.015547492959679943,1.301191033730026,0.24509221427467404,0.5068905016847678,0.21152943500379193,0.70792404498353,0.015604790795468336,2.002926465769899e-05,0.008688006051048382,0.7453859787491574,0.40267989216988953,0.558967289302991,0.5393367358625594,0.2776709382483415,0.27924600562083557,0.7470310418748264,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4,86.65740365815273,-137.31480731630546
20.0,5.526487296020308,0.6410855174419365,0.277371559732174,1.336087227924233,0.20691043823283006,0.4770724200483196,1.006403213138101e-06,1.4852060832394072,0.014626922770459122,0.006211701394632685,0.21950848453686142,0.8967896313523813,0.0020889307706494975,0.873196642346921,0.4212509734743809,0.6945986007146235,0.1940194924068426,0.7473567794437543,0.4887230263380846,0.8028768454219147,0.4964416621950285,0.52957765469495,0.37706439868471636,0.3983700240661909,0.09064375244517736,0.9368917984108249,5,398.401959840037,-744.803919680074
21.0,5.87433403661053,0.6973154044262146,-1.0629798897287026,1.2339440329920428,0.04230625376075951,0.5269209228460306,1.0669061185541186e-06,0.2338140976963779,0.013990768055244103,6017.636805126389,0.09645493253531612,0.27565759369713433,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,1074.2039044192366,-2124.407808838473
23.0,5.400105416550063,0.9999999529903898,1.3086959416193702,1.560551217485645,0.18953313151802204,0.4774368310488438,4.732420095401068,0.0006259483974423715,0.014601657848122684,0.0006792632567100197,0.5103436888107525,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,-527.4027278615087,1076.8054557230173
24.0,3.51606571935408,0.3014010581352961,-0.1633309550313431,1.570097438421754,0.019744881176447602,0.5175640840904552,2.987323281783161e-06,0.7938489794728885,0.004254837456193255,482.89278392074493,0.5075507324698424,0.4305340392372844,0.3681487552599648,0.6513874613367895,0.6709361314634957,0.025419440177182895,0.6320304566549398,0.4100972701068925,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4,197.50063534618263,-359.00127069236527
26.0,5.336995877895902,0.5376364625021506,0.5994678397670885,1.1504348817688552,0.19550043912212614,0.45252155408941924,1.2971436286028699e-06,1.3713199981991475,0.024742169196690283,0.8560902718128564,0.26779119349912234,0.6612703395685703,0.3715642025678797,0.7744588947411654,0.46302278261758156,0.39820664025753283,0.4282078879986476,0.5496004036289439,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4,1181.7785688550557,-2327.5571377101114
27.0,4.780618691150921,0.2707631813511832,-0.3085790735860927,1.0384908024685005,0.2170393727012907,0.5202703903405893,2.0884094036702048e-06,1.4460134114231118,0.016193429485605152,46.23460320126599,0.002080540005652576,0.7051795514284094,0.4132934340125899,0.6457825602214736,0.5775285309462123,0.20520727642353204,0.5709312592016688,0.6886652958976326,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4,2684.748043985958,-5333.496087971916
